timestamp	open	high	low	close	volume	SMA50	SMA200	EMA12	EMA26	RSI	MACD	MACD_signal	MACD_hist	upper_band	middle_band	lower_band	ADX	stoch_k	stoch_d	target
2023-07-30	94.33	96.18	90.82	94.03	1123107.136															0
2023-07-31	94.03	95.06	91.07	92.28	751748.352															1
2023-08-01	92.28	94.12	88.1	93.94	1191154.381															0
2023-08-02	93.95	94.68	85.7	87.54	1519927.122															0
2023-08-03	87.53	88.38	80.5	82.55	1131674.185															0
2023-08-04	82.55	83.92	80.74	82.2	956964.968															1
2023-08-05	82.2	83.42	81.35	83.12	353881.791															0
2023-08-06	83.11	83.49	81.68	82.57	376251.971															0
2023-08-07	82.57	83.44	79.29	82.49	531623.828															1
2023-08-08	82.48	85.47	81.75	83.86	735916.528															1
2023-08-09	83.85	84.61	83.13	84.08	381592.396															0
2023-08-10	84.08	84.39	82.66	83.14	337566.353			85.98333333333335												1
2023-08-11	83.13	83.72	82.68	83.58	186712.308			85.61358974358976												0
2023-08-12	83.58	84.0	83.27	83.47	178561.007			85.2838067061144												0
2023-08-13	83.48	83.81	81.01	81.92	331226.641			84.7662979820968		21.612751992498826										1
2023-08-14	81.92	83.13	81.5	82.11	330529.723			84.35763675408191		22.357563850687608										0
2023-08-15	82.11	82.25	77.0	79.26	600119.042			83.57338494576162		19.382555771269306										0
2023-08-16	79.27	79.61	72.75	74.56	1050727.642			82.18671033872137		15.67761447099198								14.228895493441923	16.6910564145273	0
2023-08-17	74.57	75.84	56.0	64.77	1709946.722			79.50721644045655		10.972688026940586								18.040725587724	16.06583229720201	0
2023-08-18	64.77	65.97	63.04	63.98	1283276.079			77.11841391115554		10.693797416385657				97.25613891049132	82.27250000000001	67.2888610895087		22.80591871046916	18.35851326387836	1
2023-08-19	63.98	65.01	63.51	64.18	511070.915			75.12788869405469		11.30839516150377				96.69914444937282	80.78	64.86085555062718		28.198167628096375	23.014937308763177	1
2023-08-20	64.17	65.89	63.98	65.25	328241.945			73.60821351035396		14.690935499833117				95.79612447638593	79.42850000000001	63.0608755236141		28.741092636579584	26.58172632504837	1
